
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2009"

"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www.census.gov/apsd/techdoc/cps/cpsmar10.pdf [http://www.census.gov/apsd/techdoc/cps/cpsmar10.pdf] [PDF]."
"Source: U.S. Census Bureau, Current Population Survey, 2010 Annual Social and Economic Supplement."
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income and Gini indexes are calculated using $2,500 income intervals. Beginning with 2009 income data, the Census Bureau expanded the income intervals used to calculate medians and Ginis to $250,000 or more. Medians falling in the upper open-ended interval are plugged with $250,000. Before 2009, the upper open-ended interval was $100,000 and a plug of $100,000 was used)"

,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999"
"Occupier paid no cash
rent",3,5,0,3,2,20,"26,199",692,"39,013","1,312"

,Gini ratio,,,Income per household member,
,ratio,Standard error,B-cell,Value (Dol.),Standard error (Dol.)
All Races,,,,,
All Households,0.465,0.0027,"1,140","26,271",111
TYPE OF RESIDENCE,,,,,
Inside metro statistical areas,0.466,0.0029,"1,140","27,264",119
Inside principal cities,0.486,0.0048,"1,140","25,551",196
Outside principal cities,0.450,0.0037,"1,140","28,321",155
Outside metro statistical areas (4),0.437,0.0078,"1,710","20,956",254
REGION/DIVISIONS,,,,,
Northeast,0.484,0.0066,"1,197","30,172",327
New England,0.478,0.0109,901,"33,085",585
Middle Atlantic,0.486,0.0125,"3,054","29,131",620
Midwest,0.444,0.0056,"1,174","25,545",217
East North Central,0.445,0.0069,"1,254","25,074",269
West North Central,0.441,0.0092,992,"26,622",381
South,0.461,0.0045,"1,231","24,352",167
South Atlantic,0.459,0.0061,"1,208","25,818",240
East South Central,0.478,0.0118,"1,140","22,655",448
West South Central,0.454,0.0084,"1,322","22,799",292
West,0.464,0.0060,"1,254","26,980",249
Mountain,0.467,0.0101,"1,003","25,961",425
Pacific,0.460,0.0073,"1,345","27,434",307
TYPE OF HOUSEHOLD,,,,,
Family households,0.432,0.0032,"1,140","24,668",115
Married-couple families,0.405,0.0037,"1,140","28,075",145
"Male householder, nsp",0.423,0.0126,"1,140","18,791",353
"Female householder, nsp",0.448,0.0073,"1,140","13,432",148
Nonfamily households,0.479,0.0050,"1,140","34,649",302
Male householder,0.467,0.0071,"1,140","37,385",465
Living alone,0.475,0.0088,"1,140","44,042",727
Female householder,0.479,0.0071,"1,140","31,869",400
Living alone,0.464,0.0078,"1,140","32,643",468
AGE OF HOUSEHOLDER,,,,,
Under 65 years,0.453,0.0030,"1,140","26,248",117
15 to 24 years,0.461,0.0117,"1,140","15,435",294
25 to 34 years,0.417,0.0063,"1,140","21,419",200
35 to 44 years,0.436,0.0063,"1,140","23,624",221
45 to 54 years,0.449,0.0058,"1,140","29,660",265
55 to 64 years,0.465,0.0063,"1,140","35,018",350
65 years and over,0.464,0.0061,"1,140","26,404",254
65 to 74 years,0.462,0.0081,"1,140","29,026",379
75 years and over,0.434,0.0087,"1,140","22,956",321
Mean age of householder,(X),(X),1.0,(X),(X)
SIZE OF HOUSEHOLD,,,,,
One person,0.476,0.0059,"1,140","37,715",409
Two people,0.431,0.0046,"1,140","34,952",242
Three people,0.425,0.0066,"1,140","25,940",251
Four people,0.420,0.0070,"1,140","22,519",229
Five people,0.429,0.0106,"1,140","17,485",278
Six people,0.433,0.0176,"1,140","13,386",349
Seven people or more,0.410,0.0201,"1,140","9,927",281
Mean size of household,(X),(X),1.00,(X),(X)
NUMBER OF EARNERS,,,,,
No earners,0.458,0.0055,"1,140","15,971",140
One earner,0.445,0.0049,"1,140","25,603",191
Two earners or more,0.354,0.0040,"1,140","29,434",154
2 earners,0.360,0.0045,"1,140","30,975",187
3 earners,0.323,0.0100,"1,140","26,021",339
4 earners or more,0.296,0.0169,"1,140","23,288",492
Mean number of earners,(X),(X),1.00,(X),(X)
WORK EXPERIENCE OF HOUSEHOLDER,,,,,
Total,0.465,0.0027,"1,140","26,271",111
Worked,0.418,0.0032,"1,140","29,538",133
Worked at f-t jobs,0.402,0.0035,"1,140","30,991",152
50 weeks or more,0.390,0.0039,"1,140","32,765",176
27 to 49 weeks,0.417,0.0109,"1,140","24,931",393
26 weeks or less,0.452,0.0131,"1,140","18,647",369
Worked at p-t jobs,0.476,0.0078,"1,140","22,412",276
50 weeks or more,0.456,0.0103,"1,140","23,880",391
27 to 49 weeks,0.486,0.0172,"1,140","22,701",624
26 weeks or less,0.503,0.0154,"1,140","18,612",485
Did not work,0.501,0.0051,"1,140","18,068",148
EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,
"Total, 25 yrs & over",0.462,0.0028,"1,140","26,885",112
Less than 9th grade,0.449,0.0127,"1,140","10,436",199
"9th to 12th grade, no diploma",0.454,0.0112,"1,140","12,802",226
"High School graduate
(includes equivalency)",0.423,0.0048,"1,140","20,152",149
"Some college, no degree",0.420,0.0062,"1,140","23,917",224
Associate Degree,0.397,0.0083,"1,140","26,023",317
Bachelor's Degree or more,0.417,0.0048,"1,140","41,727",291
Bachelor's Degree,0.408,0.0059,"1,140","36,828",320
Master's Degree,0.399,0.0094,"1,140","46,005",654
Professional Degree,0.419,0.0201,"1,140","64,600","2,055"
Doctorate Degree,0.378,0.0201,"1,140","60,100","1,780"
TENURE,,,,,
Owner occupied,0.435,0.0032,"1,140","30,329",139
Renter occupied,0.466,0.0050,"1,140","17,445",136
"Occupier paid no cash
rent",0.512,0.0247,"1,140","17,124",680
,
Race Footnotes [http://www.census.gov/hhes/www/cpstables/032010/racenotes.htm]
Source: U.S. Census Bureau
Contact: Demographic Call Center Staff at 301-763-2422 or 1-866-758-1060 (toll free)
