
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2007"



,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499"
TYPE OF HOUSEHOLD,,,,,
Family households,0.398,0.0029,"1,140","24,869",113
Married-couple families,0.363,0.0033,"1,140","28,092",140
"Male householder, nsp",0.401,0.0116,"1,140","19,061",332
"Female householder, nsp",0.447,0.0072,"1,140","13,831",170
Nonfamily households,0.476,0.0045,"1,140","34,383",301
Male householder,0.458,0.0066,"1,140","37,589",474
Living alone,0.462,0.0077,"1,140","43,286",702
Female householder,0.479,0.0063,"1,140","31,256",389
Living alone,0.464,0.0068,"1,140","31,659",436
AGE OF HOUSEHOLDER,,,,,
Under 65 years,0.421,0.0027,"1,140","26,624",114
15 to 24 years,0.436,0.0106,"1,140","16,120",286
25 to 34 years,0.408,0.0060,"1,140","22,580",233
35 to 44 years,0.401,0.0054,"1,140","24,061",211
45 to 54 years,0.401,0.0051,"1,140","29,740",251
55 to 64 years,0.429,0.0058,"1,140","35,128",349
65 years and over,0.477,0.0059,"1,140","25,128",256
65 to 74 years,0.467,0.0080,"1,140","27,643",380
75 years and over,0.461,0.0089,"1,140","21,986",331
Mean age of householder,(X),(X),1.0,(X),(X)
SIZE OF HOUSEHOLD,,,,,
One person,0.471,0.0051,"1,140","36,672",385
Two people,0.412,0.0042,"1,140","35,431",245
Three people,0.387,0.0060,"1,140","25,655",245
Four people,0.366,0.0063,"1,140","22,232",218
Five people,0.381,0.0094,"1,140","17,751",277
Six people,0.354,0.0156,"1,140","13,435",334
Seven people or more,0.394,0.0212,"1,140","9,962",324
Mean size of household,(X),(X),1.00,(X),(X)
NUMBER OF EARNERS,,,,,
No earners,0.477,0.0060,"1,140","15,921",153
One earner,0.427,0.0043,"1,140","25,664",189
Two earners or more,0.313,0.0036,"1,140","29,354",148
2 earners,0.322,0.0041,"1,140","30,720",181
3 earners,0.273,0.0093,"1,140","26,269",320
4 earners or more,0.229,0.0156,"1,140","24,194",486
Mean number of earners,(X),(X),1.00,(X),(X)
WORK EXPERIENCE OF HOUSEHOLDER,,,,,
Total,0.443,0.0024,"1,140","26,412",110
Worked,0.387,0.0029,"1,140","29,388",127
Worked at f-t jobs,0.372,0.0031,"1,140","30,353",140
50 weeks or more,0.359,0.0033,"1,140","31,510",155
27 to 49 weeks,0.411,0.0108,"1,140","24,861",465
26 weeks or less,0.470,0.0151,"1,140","19,307",464
Worked at p-t jobs,0.463,0.0077,"1,140","23,777",324
50 weeks or more,0.441,0.0102,"1,140","25,573",476
27 to 49 weeks,0.467,0.0165,"1,140","23,291",637
26 weeks or less,0.508,0.0166,"1,140","19,684",566
Did not work,0.509,0.0049,"1,140","17,972",161
EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,
"Total, 25 yrs & over",0.439,0.0025,"1,140","27,010",110
Less than 9th grade,0.464,0.0129,"1,140","10,933",263
"9th to 12th grade, no diploma",0.451,0.0092,"1,140","12,840",193
"High School graduate
(includes equivalency)",0.423,0.0046,"1,140","20,438",152
"Some college, no degree",0.407,0.0058,"1,140","24,803",231
Associate Degree,0.377,0.0081,"1,140","26,810",348
Bachelor's Degree or more,0.348,0.0042,"1,140","41,320",283
Bachelor's Degree,0.364,0.0054,"1,140","37,612",331
Master's Degree,0.327,0.0082,"1,140","44,313",590
Professional Degree,0.049,0.0161,"1,140","60,920","1,843"
Doctorate Degree,0.157,0.0180,"1,140","53,719","1,667"
TENURE,,,,,
Owner occupied,0.407,0.0029,"1,140","29,822",132
Renter occupied,0.460,0.0047,"1,140","18,392",155
"Occupier paid no cash
rent",0.496,0.0217,"1,140","16,061",610
,
Race Footnotes [/hhes/www/cpstables/macro/032008/racenotes.htm]

Source: U.S. Census Bureau
Contact: Demographic Call Center Staff at 301-763-2422 or 1-866-758-1060 (toll free)
